latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
30.684,47.321,332.2,1.5,1.2,2017-05-07,07:20,T,75,6.0NRT,308.3,25.4
30.682,47.336,335.1,1.5,1.2,2017-05-07,07:20,T,80,6.0NRT,309.7,33.1
30.614,47.321,346.9,1.5,1.2,2017-05-07,07:20,T,91,6.0NRT,309,67.3
30.613,47.337,344.3,1.5,1.2,2017-05-07,07:20,T,89,6.0NRT,309.5,58.1
30.602,47.335,327.4,1.5,1.2,2017-05-07,07:20,T,64,6.0NRT,308.2,12.3
30.558,47.329,333.3,1.5,1.2,2017-05-07,07:20,T,77,6.0NRT,309.1,23.1
30.567,47.324,330.2,1.5,1.2,2017-05-07,07:20,T,68,6.0NRT,309.3,15.6
30.422,47.607,329.3,1.4,1.2,2017-05-07,07:20,T,65,6.0NRT,308.5,16.3
30.274,47.729,328,1.4,1.2,2017-05-07,07:20,T,60,6.0NRT,308.1,11
28.494,49.706,314.5,1.1,1,2017-05-07,07:20,T,61,6.0NRT,292.9,11.8
28.492,49.717,336.4,1.1,1,2017-05-07,07:20,T,88,6.0NRT,293.1,40
27.053,49.556,339.4,1.1,1,2017-05-07,07:20,T,84,6.0NRT,301.1,27
27.035,49.553,349.8,1.1,1,2017-05-07,07:20,T,93,6.0NRT,306.7,46.2
27.033,49.563,335.3,1.1,1,2017-05-07,07:20,T,79,6.0NRT,304,18.1
27.029,49.595,335.1,1.1,1,2017-05-07,07:20,T,79,6.0NRT,305.9,19
27.027,49.606,330.1,1.1,1,2017-05-07,07:20,T,67,6.0NRT,307,11.9
27.03,49.519,327.6,1.1,1,2017-05-07,07:20,T,56,6.0NRT,305.1,7.2
-6.213,26.908,318.1,2.8,1.6,2017-05-07,09:05,T,55,6.0NRT,293.9,42.8
-6.216,26.933,314.3,2.8,1.6,2017-05-07,09:05,T,40,6.0NRT,293.4,28
-6.049,25.284,317.5,2.1,1.4,2017-05-07,09:05,T,52,6.0NRT,292.6,23.9
-6.052,25.203,318.1,2.1,1.4,2017-05-07,09:05,T,57,6.0NRT,292.1,21.6
-6.183,25.988,311.4,2.4,1.5,2017-05-07,09:05,T,60,6.0NRT,289.6,20.7
-6.411,27.498,315,3.2,1.7,2017-05-07,09:05,T,67,6.0NRT,290.7,42.1
-6.415,27.526,318.1,3.2,1.7,2017-05-07,09:05,T,72,6.0NRT,292.3,56.7
-6.174,25.331,317.6,2.1,1.4,2017-05-07,09:05,T,72,6.0NRT,297.5,23.6
-6.278,25.82,311.2,2.3,1.5,2017-05-07,09:05,T,60,6.0NRT,291.1,18.1
-6.27,25.377,319.4,2.1,1.4,2017-05-07,09:05,T,59,6.0NRT,299.1,25.5
-5.466,19.619,313.9,1,1,2017-05-07,09:05,T,49,6.0NRT,288.8,6.5
-6.237,24.753,315.2,1.9,1.3,2017-05-07,09:05,T,49,6.0NRT,294.5,17.3
-6.203,24.098,310.8,1.7,1.3,2017-05-07,09:05,T,46,6.0NRT,287.9,11.1
-5.558,18.567,319.3,1,1,2017-05-07,09:05,T,59,6.0NRT,294.5,10.3
-5.815,19.115,316.3,1,1,2017-05-07,09:05,T,25,6.0NRT,296.8,5.9
-5.846,19.14,314.1,1,1,2017-05-07,09:05,T,56,6.0NRT,290.6,5.6
-6.735,24.957,315.7,2,1.4,2017-05-07,09:05,T,70,6.0NRT,297.1,20.1
-6.684,24.096,316.2,1.7,1.3,2017-05-07,09:05,T,71,6.0NRT,296.2,15.1
